,City,Country ID,Date,Cloudiness,Humidity,Lat,Lon,Max_temp,Wind Speed
0,albany,au,2019-10-07 01:52:04+00:00,90,77,-73.75,42.65,66.2,6.7
1,ushuaia,ar,2019-10-07 01:57:48+00:00,65,90,-68.31,-54.81,28.0,3.03
2,busselton,au,2019-10-07 01:51:57+00:00,3,59,115.35,-33.64,66.99,1.34
3,karasuyama,jp,2019-10-07 01:57:49+00:00,75,72,140.15,36.65,80.01,2.6
4,rikitea,pf,2019-10-07 01:57:50+00:00,100,86,-134.97,-23.12,73.74,5.06
5,najran,sa,2019-10-07 01:53:35+00:00,0,33,44.22,17.54,73.4,0.12
6,barcelos,br,2019-10-07 01:57:50+00:00,0,80,-62.93,-0.97,77.14,0.77
7,sambava,mg,2019-10-07 01:57:51+00:00,61,97,50.17,-14.27,67.26,1.325
8,saint-philippe,re,2019-10-07 01:52:25+00:00,90,87,-73.48,45.36,62.01,7.2
9,rawson,ar,2019-10-07 01:52:14+00:00,10,41,-65.11,-43.3,52.34,15.88
10,maniitsoq,gl,2019-10-07 01:57:52+00:00,0,55,-52.9,65.42,34.88,2.2
11,qaanaaq,gl,2019-10-07 01:52:33+00:00,100,77,-69.36,77.48,19.87,7.67
12,barrow,us,2019-10-07 01:52:09+00:00,97,40,-60.23,-38.31,61.34,9.47
13,puerto ayora,ec,2019-10-07 01:57:53+00:00,8,94,-90.35,-0.74,66.0,0.89
14,mahebourg,mu,2019-10-07 01:53:58+00:00,40,83,57.7,-20.41,73.4,7.7
15,yulara,au,2019-10-07 01:57:54+00:00,0,23,130.99,-25.24,82.4,5.1
16,mangrol,in,2019-10-07 01:55:23+00:00,0,94,76.51,25.33,75.2,0.2
17,saint george,bm,2019-10-07 01:52:03+00:00,75,87,22.34,39.45,60.8,0.84
18,paamiut,gl,2019-10-07 01:55:02+00:00,0,75,-49.67,61.99,38.73,10.8
19,turayf,sa,2019-10-07 01:57:55+00:00,0,42,38.65,31.68,62.6,1.0
20,lovozero,ru,2019-10-07 01:57:56+00:00,100,98,35.02,68.01,33.31,1.18
21,mar del plata,ar,2019-10-07 01:53:00+00:00,80,66,-67.52,-46.43,47.84,11.19
22,bluff,nz,2019-10-07 01:52:20+00:00,0,17,149.07,-23.58,94.17,2.77
23,punta arenas,cl,2019-10-07 01:52:14+00:00,40,60,-70.91,-53.16,39.2,6.2
24,zhigansk,ru,2019-10-07 01:53:19+00:00,100,94,123.37,66.77,29.16,3.88
25,yellowknife,ca,2019-10-07 01:52:36+00:00,90,93,-114.38,62.45,39.2,6.2
26,saldanha,za,2019-10-07 01:53:45+00:00,9,50,-6.55,41.42,57.97,0.59
27,shimoda,jp,2019-10-07 01:57:59+00:00,75,77,138.93,34.7,80.01,8.7
28,vaini,to,2019-10-07 01:58:00+00:00,40,100,74.49,15.34,71.6,1.06
29,saskylakh,ru,2019-10-07 01:52:52+00:00,90,95,114.09,71.97,18.59,2.87
30,sao filipe,cv,2019-10-07 01:52:51+00:00,100,87,-24.5,14.9,78.98,6.81
31,llanes,es,2019-10-07 01:58:01+00:00,25,97,-4.75,43.42,57.0,3.792
32,bulgan,mn,2019-10-07 01:58:01+00:00,32,71,103.53,48.81,39.11,1.97
33,tagusao,ph,2019-10-07 01:58:02+00:00,25,66,117.81,9.19,85.17,2.907
34,dongsheng,cn,2019-10-07 01:55:16+00:00,100,71,112.52,29.72,60.04,2.83
35,havelock,nz,2019-10-07 01:58:02+00:00,1,68,-76.9,34.88,75.2,1.83
36,macau,br,2019-10-07 01:58:03+00:00,66,82,-36.64,-5.11,74.79,8.29
37,mataura,pf,2019-10-07 01:58:03+00:00,90,45,168.86,-46.19,59.61,5.26
38,pionerskiy,ru,2019-10-07 01:58:04+00:00,99,82,62.86,61.2,40.93,2.76
39,hithadhoo,mv,2019-10-07 01:52:15+00:00,81,77,73.08,-0.6,81.66,6.27
40,korem,et,2019-10-07 01:58:05+00:00,41,83,39.52,12.51,53.4,0.63
41,flinders,au,2019-10-07 01:58:05+00:00,75,68,150.85,-34.58,78.01,4.6
42,carnarvon,au,2019-10-07 01:52:50+00:00,3,49,22.13,-30.97,50.04,7.13
43,sedalia,us,2019-10-07 01:58:06+00:00,1,82,-93.23,38.7,57.0,1.5
44,tokur,ru,2019-10-07 01:58:07+00:00,46,71,132.9,53.13,46.08,4.99
45,kaitangata,nz,2019-10-07 01:53:01+00:00,100,68,169.85,-46.28,55.0,1.79
46,kijang,id,2019-10-07 01:58:08+00:00,100,72,129.21,35.24,64.4,3.6
47,belaya gora,ru,2019-10-07 01:58:08+00:00,100,73,146.19,68.54,23.88,2.55
48,rovaniemi,fi,2019-10-07 01:58:08+00:00,0,94,25.72,66.5,35.6,3.6
49,kavieng,pg,2019-10-07 01:54:26+00:00,1,75,150.8,-2.57,83.59,6.3
50,leningradskiy,ru,2019-10-07 01:55:30+00:00,48,74,178.42,69.38,24.58,2.02
51,georgetown,sh,2019-10-07 01:52:11+00:00,20,78,-58.16,6.8,82.4,2.1
52,danao,ph,2019-10-07 01:58:10+00:00,60,66,124.7,11.07,85.15,2.53
53,amahai,id,2019-10-07 01:58:10+00:00,17,82,129.0,-3.31,79.86,4.36
54,ancud,cl,2019-10-07 01:52:56+00:00,75,87,-73.83,-41.87,44.6,2.1
55,uruzgan,af,2019-10-07 01:58:11+00:00,0,53,66.63,32.93,47.12,2.8
56,acapulco,mx,2019-10-07 01:56:09+00:00,40,74,-99.88,16.86,84.2,3.1
57,larsnes,no,2019-10-07 01:58:12+00:00,0,86,5.58,62.2,39.99,4.1
58,avarua,ck,2019-10-07 01:54:17+00:00,100,53,-159.78,-21.21,75.2,4.6
59,shellbrook,ca,2019-10-07 01:58:12+00:00,20,53,-106.39,53.22,50.0,1.5
60,avera,pf,2019-10-07 01:58:13+00:00,75,69,-82.53,33.19,77.0,2.1
61,opuwo,na,2019-10-07 01:58:13+00:00,61,32,13.84,-18.06,60.85,0.3
62,eureka,us,2019-10-07 01:52:12+00:00,1,71,-124.16,40.8,61.0,3.1
63,walvis bay,na,2019-10-07 01:54:17+00:00,0,87,14.51,-22.95,63.0,3.6
64,plainview,us,2019-10-07 01:58:14+00:00,1,47,-101.71,34.18,62.6,5.7
65,iqaluit,ca,2019-10-07 01:53:43+00:00,75,86,-68.52,63.75,37.4,2.1
66,asosa,et,2019-10-07 01:58:15+00:00,90,93,34.53,10.07,62.47,2.01
67,lebu,cl,2019-10-07 01:52:19+00:00,10,83,38.73,8.96,49.96,2.037
68,bredasdorp,za,2019-10-07 01:52:25+00:00,0,87,20.04,-34.53,57.0,2.34
69,victoria,sc,2019-10-07 01:50:07+00:00,75,83,115.24,5.28,84.2,2.1
70,kapaa,us,2019-10-07 01:50:37+00:00,90,74,-159.32,22.08,84.2,3.6
71,hobart,au,2019-10-07 01:52:47+00:00,75,44,147.33,-42.88,57.2,4.6
72,port alfred,za,2019-10-07 01:52:25+00:00,85,92,26.89,-33.59,64.99,0.45
73,cape town,za,2019-10-07 01:49:12+00:00,75,87,18.42,-33.93,62.01,3.1
74,geraldton,au,2019-10-07 01:53:26+00:00,75,100,-86.95,49.72,44.6,4.6
75,port elizabeth,za,2019-10-07 01:52:04+00:00,93,68,-74.98,39.31,71.6,3.6
76,krasnyy kholm,ru,2019-10-07 01:58:19+00:00,98,95,37.11,58.06,31.96,5.18
77,peto,mx,2019-10-07 01:58:19+00:00,100,93,-88.92,20.13,73.0,0.34
78,tazovskiy,ru,2019-10-07 01:58:20+00:00,96,85,78.7,67.47,35.2,10.08
79,husavik,is,2019-10-07 01:54:24+00:00,48,78,-96.99,50.56,46.99,1.34
80,kahului,us,2019-10-07 01:53:18+00:00,40,48,-156.47,20.89,87.8,5.1
81,kawalu,id,2019-10-07 01:52:36+00:00,84,57,108.21,-7.38,80.15,2.8
82,kabo,cf,2019-10-07 01:58:21+00:00,100,96,18.62,7.69,70.52,0.473
83,grindavik,is,2019-10-07 01:55:46+00:00,0,81,-22.43,63.84,50.0,6.2
84,novikovo,ru,2019-10-07 01:58:23+00:00,100,77,37.89,51.15,36.55,5.25
85,port-gentil,ga,2019-10-07 01:58:24+00:00,88,86,8.78,-0.72,77.79,5.58
86,sinnamary,gf,2019-10-07 01:58:24+00:00,0,82,-52.96,5.38,81.55,5.89
87,alofi,nu,2019-10-07 01:52:08+00:00,88,65,-169.92,-19.06,77.0,7.7
88,kholtoson,ru,2019-10-07 01:58:25+00:00,88,61,103.31,50.3,41.34,0.71
89,mulege,mx,2019-10-07 01:58:25+00:00,0,53,-111.98,26.88,84.79,1.92
90,longonjo,ao,2019-10-07 01:58:26+00:00,100,79,15.25,-12.91,63.16,0.842
91,nikolskoye,ru,2019-10-07 01:53:25+00:00,0,86,30.79,59.7,34.0,2.0
92,hualmay,pe,2019-10-07 01:58:27+00:00,16,92,-77.61,-11.1,60.35,6.68
93,puro,ph,2019-10-07 01:58:27+00:00,93,68,123.76,13.13,86.27,2.95
94,bethel,us,2019-10-07 01:52:43+00:00,90,65,-161.76,60.79,44.6,4.1
95,ahuimanu,us,2019-10-07 01:58:28+00:00,75,65,-157.84,21.44,84.2,3.1
96,hermanus,za,2019-10-07 01:52:47+00:00,32,93,19.24,-34.42,57.99,5.621
97,berlevag,no,2019-10-07 01:54:24+00:00,99,80,29.09,70.86,42.46,4.32
98,pitsunda,ge,2019-10-07 01:58:29+00:00,40,93,40.34,43.16,53.6,1.0
99,upernavik,gl,2019-10-07 01:55:17+00:00,0,76,-56.15,72.79,28.42,2.02
100,dikson,ru,2019-10-07 01:52:37+00:00,55,79,80.55,73.51,23.58,11.68
101,kamalasai,th,2019-10-07 01:58:30+00:00,20,78,103.57,16.34,78.8,3.6
102,mehran,ir,2019-10-07 01:58:31+00:00,75,36,46.17,33.12,62.6,2.1
103,udachnyy,ru,2019-10-07 01:58:31+00:00,90,92,112.4,66.42,19.4,2.0
104,port hawkesbury,ca,2019-10-07 01:58:31+00:00,20,76,-61.36,45.62,53.01,4.1
105,potiskum,ng,2019-10-07 01:58:32+00:00,16,82,11.08,11.71,73.53,3.0
106,hilo,us,2019-10-07 01:52:05+00:00,90,58,-155.08,19.71,84.2,3.1
107,tiznit,ma,2019-10-07 01:52:39+00:00,0,77,-9.73,29.7,69.42,1.87
108,lompoc,us,2019-10-07 01:54:49+00:00,1,33,-120.46,34.64,77.0,2.1
109,hasaki,jp,2019-10-07 01:55:01+00:00,20,73,140.83,35.73,73.0,5.7
110,poronaysk,ru,2019-10-07 01:55:57+00:00,1,44,143.1,49.22,59.63,4.94
111,kenai,us,2019-10-07 01:55:21+00:00,1,29,-151.26,60.55,51.8,4.6
112,kaeo,nz,2019-10-07 01:52:44+00:00,94,91,173.78,-35.1,62.01,2.24
113,jalu,ly,2019-10-07 01:58:34+00:00,0,81,21.55,29.03,64.94,3.11
114,narsaq,gl,2019-10-07 01:53:23+00:00,75,60,-46.05,60.91,42.8,1.5
115,tecoanapa,mx,2019-10-07 01:53:48+00:00,40,74,-99.26,16.99,84.2,3.1
116,windhoek,na,2019-10-07 01:58:35+00:00,0,20,17.08,-22.57,66.2,0.5
117,gaya,ne,2019-10-07 01:56:55+00:00,40,100,85.01,24.8,77.0,1.86
118,airai,pw,2019-10-07 01:53:37+00:00,7,42,125.41,-8.93,86.94,2.3
119,bull savanna,jm,2019-10-07 01:58:37+00:00,99,79,-77.59,17.89,82.02,2.9
120,sao bento do sul,br,2019-10-07 01:58:37+00:00,75,93,-49.38,-26.25,62.6,1.0
121,cherskiy,ru,2019-10-07 01:54:02+00:00,15,79,161.3,68.75,19.54,1.57
122,sibolga,id,2019-10-07 01:54:23+00:00,89,64,98.78,1.74,84.4,0.99
123,jamestown,sh,2019-10-07 01:52:17+00:00,100,69,138.6,-33.21,57.74,5.58
124,saint-joseph,re,2019-10-07 01:53:56+00:00,20,93,6.97,43.56,64.4,1.5
125,nanortalik,gl,2019-10-07 01:52:41+00:00,0,81,-45.24,60.14,41.14,0.763
126,ponta do sol,cv,2019-10-07 01:53:24+00:00,95,62,-46.0,-20.63,71.78,2.18
127,ambilobe,mg,2019-10-07 01:58:40+00:00,0,70,49.05,-13.19,74.07,4.87
128,athens,us,2019-10-07 01:58:40+00:00,75,88,23.73,37.98,70.0,1.84
129,iskateley,ru,2019-10-07 01:58:41+00:00,0,88,53.15,67.68,30.16,3.33
130,chaman,pk,2019-10-07 01:58:41+00:00,0,33,66.46,30.92,67.64,0.63
131,lircay,pe,2019-10-07 01:58:42+00:00,98,67,-74.72,-12.99,48.31,0.567
132,la sarre,ca,2019-10-07 01:58:42+00:00,17,80,-79.2,48.8,47.12,5.72
